address,touching_txs,unique_slots,gas_of_touching_txs,conflict_contribution
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,177,208,34490590,2543
0x4200000000000000000000000000000000000006,153,117,34105958,2373
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47,54,12020811,1704
0x827922686190790b37229fd06084350e74485b72,33,368,15433386,606
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,49,14,6310331,481
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,61,7,8149938,360
0xd0b53d9277642d899df5c87a3966a349a798f224,60,6,11618931,354
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,37,34,6010520,319
0x22aee3699b6a0fed71490c103bd4e5f3309891d5,54,52,8636780,245
0x4e962bb3889bf030368f56810a9c96b83cb3e778,7,54,2788929,138
