key,address,address_label,slot,touching_txs,gas_of_touching_txs,conflict_contribution
0x4200000000000000000000000000000000000006:0x0d52ad225b9f8da090dc37c741705dabc30f648dce00d7b0cab66994a1261ea6,0x4200000000000000000000000000000000000006,Base WETH,0x0d52ad225b9f8da090dc37c741705dabc30f648dce00d7b0cab66994a1261ea6,60,7037020,1704
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913:0xb11ac13f71492d75461bf3c1f12c195cbe42b046a859ec6a34848efc0462deda,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,Base USDC,0xb11ac13f71492d75461bf3c1f12c195cbe42b046a859ec6a34848efc0462deda,59,6907579,1645
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59:0x0000000000000000000000000000000000000000000000000000000000000006,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,unknown,0x0000000000000000000000000000000000000000000000000000000000000006,47,12020811,675
0x827922686190790b37229fd06084350e74485b72:0x0000000000000000000000000000000000000000000000000000000000000002,0x827922686190790b37229fd06084350e74485b72,unknown,0x0000000000000000000000000000000000000000000000000000000000000002,33,15433386,375
0xd0b53d9277642d899df5c87a3966a349a798f224:0x0000000000000000000000000000000000000000000000000000000000000000,0xd0b53d9277642d899df5c87a3966a349a798f224,unknown,0x0000000000000000000000000000000000000000000000000000000000000000,60,11618931,339
0x4200000000000000000000000000000000000006:0x7fa89ed191104b59893c54aa61c35c4b88ae911f1ac7cab067c891ab0601acac,0x4200000000000000000000000000000000000006,Base WETH,0x7fa89ed191104b59893c54aa61c35c4b88ae911f1ac7cab067c891ab0601acac,27,6928640,306
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38:0x0000000000000000000000000000000000000000000000000000000000000000,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,unknown,0x0000000000000000000000000000000000000000000000000000000000000000,49,6310331,230
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38:0x0000000000000000000000000000000000000000000000000000000000000001,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,unknown,0x0000000000000000000000000000000000000000000000000000000000000001,49,6310331,230
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913:0x6b44a3e0842ecc28ca534a294955223b94a5209f3671031126ec16ea6e217dab,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,Base USDC,0x6b44a3e0842ecc28ca534a294955223b94a5209f3671031126ec16ea6e217dab,22,6732792,221
0x22aee3699b6a0fed71490c103bd4e5f3309891d5:0x0000000000000000000000000000000000000000000000000000000000000006,0x22aee3699b6a0fed71490c103bd4e5f3309891d5,unknown,0x0000000000000000000000000000000000000000000000000000000000000006,54,8636780,206
