address,label,touching_txs,unique_slots,gas_of_touching_txs,conflict_contribution
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,unknown,2,4,485390,2
0x976a4d13a41581c5eda72c493038ac10cadf5e46,unknown,10,1,1189217,0
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,unknown,9,2,880556,0
0x22aee3699b6a0fed71490c103bd4e5f3309891d5,unknown,9,1,979811,0
0x57135dd4b832645955422b28291302d697ea0900,unknown,8,1,671150,0
0x498581ff718922c3f8e6a244956af099b2652b2b,unknown,7,6,847377,0
0x0f12cb1f3e37375af09a248ca97c4a3eedf2f494,unknown,6,1,637971,0
0x4c9f68e780523feb4c9bb1aad2e5cc3b6476892b,unknown,6,1,637971,0
0x5b8bf0cd0fa5bf970ebe558d7551a668dadf3570,unknown,6,1,787046,0
0x7631e2b08317f227bb2916ed0e9d69c64d73bdcd,unknown,6,1,687791,0
