key,address,slot,touching_txs,gas_of_touching_txs,conflict_contribution
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789:0x0000000000000000000000000000000000000000000000000000000000000002,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x0000000000000000000000000000000000000000000000000000000000000002,2,485390,1
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789:0x33a26eb216320a51847a061c8f256bd98ae96e1a1d67d2bbc4cd8c61adad2df0,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x33a26eb216320a51847a061c8f256bd98ae96e1a1d67d2bbc4cd8c61adad2df0,2,485390,1
0x976a4d13a41581c5eda72c493038ac10cadf5e46:0x0000000000000000000000000000000000000000000000000000000000000006,0x976a4d13a41581c5eda72c493038ac10cadf5e46,0x0000000000000000000000000000000000000000000000000000000000000006,10,1189217,0
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0:0x0000000000000000000000000000000000000000000000000000000000000000,0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x0000000000000000000000000000000000000000000000000000000000000000,9,880556,0
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0:0x0000000000000000000000000000000000000000000000000000000000000001,0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x0000000000000000000000000000000000000000000000000000000000000001,9,880556,0
0x22aee3699b6a0fed71490c103bd4e5f3309891d5:0x0000000000000000000000000000000000000000000000000000000000000006,0x22aee3699b6a0fed71490c103bd4e5f3309891d5,0x0000000000000000000000000000000000000000000000000000000000000006,9,979811,0
0x57135dd4b832645955422b28291302d697ea0900:0x0000000000000000000000000000000000000000000000000000000000000006,0x57135dd4b832645955422b28291302d697ea0900,0x0000000000000000000000000000000000000000000000000000000000000006,8,671150,0
0x0f12cb1f3e37375af09a248ca97c4a3eedf2f494:0x0000000000000000000000000000000000000000000000000000000000000000,0x0f12cb1f3e37375af09a248ca97c4a3eedf2f494,0x0000000000000000000000000000000000000000000000000000000000000000,6,637971,0
0x498581ff718922c3f8e6a244956af099b2652b2b:0x934ff9aed835597de93bbfd6474d60d33c1e72493b62f8e1615cfda0908eeaef,0x498581ff718922c3f8e6a244956af099b2652b2b,0x934ff9aed835597de93bbfd6474d60d33c1e72493b62f8e1615cfda0908eeaef,6,637971,0
0x4c9f68e780523feb4c9bb1aad2e5cc3b6476892b:0x0000000000000000000000000000000000000000000000000000000000000000,0x4c9f68e780523feb4c9bb1aad2e5cc3b6476892b,0x0000000000000000000000000000000000000000000000000000000000000000,6,637971,0
